SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
1,6,27039,381,7,0.0,0.0,2018-02-05 07:38:25.430,FQL4S94E4ME1EZFTG42G
2,16,25011,61,7,0.0,0.0,2018-02-02 16:03:31.150,12UGLX40DJ1A5DTFBHB8
3,13,94024,23,24,0.0,0.0,2018-05-03 19:31:56.880,5DT8RCPL87KI5EORO7B0
4,8,73966,176,19,0.2,0.0,2018-04-07 14:43:55.420,R3DR9MLD5NR76VO17ULE
5,10,32653,310,9,0.0,0.0,2018-02-12 15:37:03.940,4BGS0Z5OMAZ8NDAFHHP3
6,13,28663,413,8,0.0,0.0,2018-02-07 10:33:24.990,3KTAYIZPGDQMZMRWZ8NG
7,14,46674,370,12,0.0,0.0,2018-03-02 23:09:58.750,ICRZIHELQCVB71RNH1G5
8,3,12687,287,4,0.2,0.0,2018-01-17 13:41:38.460,6X9MOQIJH92NIK81BG0K
9,16,89009,124,23,0.0,0.0,2018-04-27 06:19:58.570,P0UARL09H66APBEIDUQW
10,22,65017,346,17,0.2,0.0,2018-03-26 22:12:08.530,92TNPGIL6LFKVGWFBW5H
11,5,67670,405,18,0.2,0.0,2018-03-30 09:23:05.370,Z2WDS9TJXLAO1GY0N24I
12,17,28353,285,8,0.0,0.0,2018-02-07 00:50:06.000,BLQPUVH22XKER90WAW7P
13,22,29082,162,8,0.2,0.0,2018-02-07 23:40:36.820,8Z5WT0YENU1ZMOH5NYEB
14,7,33133,406,9,0.0,0.0,2018-02-13 06:39:51.960,VOP9A7Y4C5XSM2LLT0UJ
15,19,19310,134,5,0.0,0.0,2018-01-26 05:20:52.510,E2JF4LIQNYTDKDBGMJS0
16,16,91867,364,24,0.0,0.0,2018-04-30 23:55:11.560,AO360LVKUYJSSGL5T5MF
17,8,14612,185,4,0.0,0.0,2018-01-20 02:02:39.460,P73F1OA46H2JE3EF83ZM
18,17,96120,377,25,0.1,0.0,2018-05-06 13:15:34.750,S09LSXPASD6KXLHZRZWL
19,23,2657,49,1,0.0,0.0,2018-01-04 11:17:04.600,NGH8EC7PL1MS7W6UT8RL
20,18,51200,308,13,0.0,0.0,2018-03-08 21:02:34.480,D3VYGIWGH421Q5JSCEKI
21,16,91382,147,24,0.0,0.0,2018-04-30 08:42:49.010,7BKSQOA5XQ50L9DLAXUB
22,18,23677,442,6,0.0,0.0,2018-01-31 22:14:45.630,3XJQHRN1HU7295SB6QUL
23,1,35389,392,9,0.0,0.0,2018-02-16 05:23:12.380,KDX14V662HP7B4E019WN
24,23,66030,324,17,0.0,0.0,2018-03-28 05:56:50.450,FWXXB3LA360PZJJMPCVH
25,7,45384,341,12,0.0,0.0,2018-03-01 06:42:59.620,EDHVY1DB5HXY64GZ4SRK
26,14,87577,369,23,0.0,0.0,2018-04-25 09:27:01.180,YAPHCKUECW0590JG1D27
27,10,14848,330,4,0.0,0.0,2018-01-20 09:27:33.630,YO2QTF3MKJ4WYG2REMGJ
28,6,45482,145,12,0.2,0.0,2018-03-01 09:47:42.980,SLWSW3WJ3EPDX0LNQI5R
29,11,655,378,1,0.0,0.0,2018-01-01 20:31:36.660,RDW9BKHONRLN1536YWB6
30,4,77357,91,20,0.0,0.0,2018-04-12 01:03:54.130,H4EI0FH4N3BS518ZJLIF
31,4,87441,449,23,0.0,0.0,2018-04-25 05:10:14.730,GM4PVVHGSLUKOA8IQA5Z
32,22,47694,124,13,0.2,0.0,2018-03-04 07:09:32.220,ZOAVW4V6EBSQ71HAT5KZ
33,15,43145,291,11,0.0,0.0,2018-02-26 08:31:57.410,VHG7GQZHTADFBGYTTZQM
34,4,17875,116,5,0.0,0.0,2018-01-24 08:21:21.770,DA1UH9Q7X5K0V47TOFDV
35,2,75421,367,20,0.1,0.0,2018-04-09 12:21:05.650,L1FAVKJGZ6TDDH7FDZG9
36,3,19823,150,6,0.0,0.0,2018-01-26 21:25:08.970,V5SFGCR05JCQLR9LJLP7
37,20,51149,2,13,0.0,0.0,2018-03-08 19:26:35.240,XZRNIM0DAGWMEPVMVF7S
38,9,70699,344,18,0.0,0.0,2018-04-03 08:19:04.710,TMGMRPXTUDR2JY61RYQQ
39,7,61998,64,16,0.0,0.0,2018-03-22 23:34:27.960,V3F371DYN6HEA3CA0QW2
40,3,22037,419,6,0.0,0.0,2018-01-29 18:49:24.100,G25KURPL4HH1TYI0IKNK
41,17,23796,246,7,0.0,0.0,2018-02-01 01:58:03.850,77AN9UTRQ7TO2E1AJCAN
42,14,13389,439,4,0.0,0.0,2018-01-18 11:43:12.190,JP0DG5U9H58IP9VVWLXW
43,15,74923,215,19,0.0,0.0,2018-04-08 20:45:29.430,D9ODQJHQZ8DWHOI9ASOY
44,12,69666,21,18,0.0,0.0,2018-04-01 23:56:54.750,81K6D55FNQCRI5FBZPLC
45,5,26337,384,7,0.0,0.0,2018-02-04 09:37:10.270,IXVL7LCLLS8XC4736CEB
46,13,28160,420,8,0.1,0.0,2018-02-06 18:45:37.340,BH05YI2YA23MYQ4PK6KS
47,5,86775,407,22,0.0,0.0,2018-04-24 08:17:50.060,1X4T6187SC7087FUG82A
48,16,68391,335,18,0.0,0.0,2018-03-31 07:58:37.110,AP5BEE3EM6TIGAJWBSGT
49,18,93402,108,24,0.0,0.0,2018-05-03 00:03:35.620,IPVLPJOV4XHI7Q8ZIRN4
50,21,16869,257,5,0.0,0.0,2018-01-23 00:49:20.470,66EHSWVX5FLHWSZ9POVF
51,21,12478,215,4,0.2,0.0,,H8B08JBXS1TOWBJH3XMS
52,13,42015,352,11,0.0,0.0,2018-01-17 07:09:30.710,ZHV1AY8PT2RPAOX2HJDJ
53,20,30247,220,8,0.0,0.0,2018-02-24 21:06:58.950,CESS0HGRLR9MLIQFZYL3
54,9,75366,170,20,0.0,0.0,2018-02-09 12:11:00.810,YY1YLMLFMD88XM239AHR
55,7,69334,137,18,0.0,0.0,2018-04-09 10:39:03.270,8BI3P66MILSGTEGQTEUU
56,12,3362,392,1,0.1,0.0,2018-04-01 13:32:02.830,ZE0DOWNCQN4B8QMJVWGE
57,15,88382,122,23,0.0,0.0,2018-01-05 09:23:39.800,4SGS38MDFWMXM8XIP1AI
58,14,27995,151,8,0.0,0.0,2018-04-26 10:40:18.780,RXO4KNT6XHEFIULKLKO1
